Unnamed: 0,Unnamed: 1,考核指标,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
维度,维度权重,指标名称,指标权重,指标定义,指标数值计算方法,目标,负责人,备注
财务,0.3,净营收,0.15,"营收（训练营+硬件，不含税）
扣除退款 + 扣除180 天内退费预提","年总和，增加""退费预提""：按历史退费率对未到期订单计提",5亿,第一责任： @马长久,"观点：打造新品类，并控制每个sku的规模量，是喜播长久健康发展的核心

判断：
1、兼职副业是高风险品类，本质是无法解决大部分人的兼职副业问题（更何况是在每月1万+人的大规模量的情况）；
2、规模是风险大小的核心因素，比如量子之歌，十方等，本质是规模量无序扩大，导致市场和销售只能把那些“大黑”用户拉进来进行销售，从而提升企业风险；

收入和利润率目标都要先达成风险共识，否则容易陷入死循环和内耗"
,,净利润率,0.15,收入扣减站内外流量成本，兼职服务成本，人力成本及集团分摊后的管理净利润,净利润/净营收,≥ 10%,,
客户,0.3,百万元投诉率,0.1,每百万元现金流收入中的分级加权毒性订单金额。用于量化第一曲线的收入健康水平，数值越低健康水平越高。,加权风险订单总额∑ ( L2×1 + L3×0.2）÷ 当期总现金流 (百万) ,"相较于2025年12月降低15%
(base初算52864)",第一责任： @杜康杰(杜康杰Annie),"设定逻辑：每百万元现金流收入中的分级加权毒性订单金额 (Risk Exposure)。传统投诉率计算=“投诉量/投诉人数”具有欺骗性，难以真正衡量出不健康问题带来的业务损失：1、用户投诉的问题存在严重性差异，例如“虚假宣传”和“课程太难”、“监管投诉”和“内部投诉”的风险程度是不同的；2、用户会因为一次退费投诉而退掉剩余的所有课程，传统投诉量不能反映这种涟漪影响。
○投诉定义：用户在客服进线、企微沟通监控、外部监管黑猫消费宝投诉据中，提及退款诉求的反馈。投诉包含4个等级：
   -L1，触发行政处罚、监管约谈、公安立案、主流媒体报道，发生即升级预警；
   -L2，用户明确表达“被欺骗”、“诱导消费”、“承诺未兑现 并要求退款；或已在黑猫/12345等平台投诉，每单权重为1；
   -L3，未提及“被欺骗”、“诱导消费”、“承诺未兑现”这三类实质性问题，但明确表达对课程、人员服务、交付等业务问题不满并要求退款，每单权重为0.2。
   -L4，纯粹个人原因或完全不说明原因，不计入考核。
○分子：投诉单所关联的订单金额之和*投诉等级权重。
○分母：当期全部现金流收入，包含退款订单（即退前收入）。"
,,大黑用户拦截率,0.1,系统识别的高风险用户（大黑/特殊关怀用户）在转化环节被拦截未成交的比例。,拦截率=成功拦截数÷识别总数,≥ 98%, @杜康杰(杜康杰Annie),"战略核心补丁。""不赚带血的钱""的量化体现。“大黑用户”是指有明确高风险特征（如职业打假、极度贫困、身体受限、有竞品受骗经历）的群体。转化这类用户不仅会导致后续投诉和退费（负向净营收），更可能引发舆情和监管风险。 “不赚带血的钱” 是第一曲线解毒战役的核心价值观。"
,,服务满意度（NPS）,0.1,正价课学员的净推荐值 (NPS) 或综合满意度评分,,≥ 85 分（百分制）, @马长久,因果链过渡指标。AI替代人工与投诉率之间是矛盾关系，必须有NPS作为安全网
内部运营,0.3,"单 SKU 产能密度
（原：新课程成功上线数）",0.15,达到公司共识的成功SKU 数量。,即：在UE模型健康下，一年产生达到150万收入小目标，一个300-500万中等项目的数量,≥ 4 个达标 SKU,第一责任： @苏秦,"原指标鼓励""做多""，与战略""做精""矛盾。新指标倒逼把现有课做到极致"
,,兼职人效,0.15,助教人均带来退后 GMV+班主任人均带来退后 GMV+点评官人均服务退后GMV  提升,"月度平均
计算公式：
 （（助教人数*助教人均 GMV）+ （班主任人数*班主任人均带来 GMV）） + （点评官人数* 点评官人均服务 GMV））/ （班主任人数+助教人数+点评官人数）",相较于 2025 年提升15%,第一责任： @姚涣(Aaron姚涣),
学习与成长,0.1,关键岗位AI重购率,0.1,已完成重构的关键岗位的占比,关键岗位 AI 重构率 = ( 已完成重构的核心岗位数 / 核心岗位总数 ) × 100%,0.8, @王俊(Johnny 王俊),
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
教研部门,,学员合格率,0.1,"结课学员通过每个sku的考试合格的比例
考试标准：根据第三方专家+公司专业评委会确定的标准难度和题库",60分以上的学员/ 应该参考学员总数（即：应考学员数）,75%（前提80% 参加考试率）,第一责任： @苏秦,设定一个**“参考率”红线**。例如：要求参考率大于 80%的前提下，60 分合格率大于75%。否则，只考核合格率毫无意义。
